,Russula_OTU01,Tomentella_OTU14_parmastoana,Tomentella_OTU02,Lactarius_OTU01,Tomentella_OTU03,Tomentella_OTU04,Scleroderma_OTU01,Tomentella_OTU05,Tomentella_OTU06,Tomentella_OTU07,Tomentella_OTU08,Tomentella_OTU09,Tomentella_OTU10,Tomentella_OTU11,Tomentella_OTU12,Tomentella_OTU13,Russula_OTU03_violeipes,Russula_OTU02,Clavulina_OTU01,Scleroderma_OTU02,Tomentella_OTU01,*Non-ECM fungi
BA11,0.071038251,0,0,0.877959927,0,0.018214936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032786885
BA12,0,0,0,0.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385
BA13,0,0,0,0.058333333,0.616666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325
BA15,0,0,0,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912280702
BA21,0,0,0,0.060728745,0,0,0,0,0,0,0,0,0,0,0,0,0.700404858,0,0,0,0,0.238866397
BA22,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BA25,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
BB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BB12,0,0,0.061836809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002927186,0,0,0,0.935236004
BB13,0.00551572,0,0.003861004,0.287920574,0,0,0.000827358,0.028681743,0,0,0,0,0,0,0,0,0,0,0,0,0,0.673193602
BB14,0.102729088,0,0,0.845573552,0,0,0,0.049922343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001775017
BB15,0,0,0.673350042,0.002506266,0.0267335,0,0,0.01754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279866332
BB21,0,0,0,0,0.96758217,0,0,0.009905448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022512382
BB22,0.105682229,0,0,0.023163228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871154542
BB23,0.901818182,0,0,0.005775401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092406417
BB24,0,0,0,0.428153921,0.48709206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084754019
BB25,0.997011952,0,0,0.001992032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000996016
ZH11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH12,0,0,0.015177066,0,0.536256324,0.160202361,0,0,0,0,0,0,0.146711636,0,0,0,0,0,0,0,0,0.141652614
ZH13,0,0,0,0,0,0.733481811,0,0,0.067557535,0,0,0,0,0,0,0,0,0,0,0,0,0.198960653
ZH14,0,0,0,0,0,0.66221374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33778626
ZH15,0.00212766,0,0,0,0,0.72893617,0,0,0.057021277,0,0,0,0,0,0,0,0,0,0,0,0,0.211914894
ZH21,0,0,0.37254902,0.235294118,0,0.294117647,0,0.049019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608
ZH22,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
ZH23,0,0,0,0.2,0,0,0,0.458064516,0.038709677,0,0,0,0,0,0,0.303225806,0,0,0,0,0,0
ZH25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG11,0,0.381944444,0,0.023148148,0,0.462962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131944444
BG12,0.371069182,0,0,0,0,0.465408805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163522013
BG13,0.747645951,0,0,0.004237288,0,0.170433145,0,0,0.012711864,0,0,0,0,0,0,0,0,0,0,0,0,0.064971751
BG14,0.052207856,0,0,0,0,0,0,0.740668456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207123689
BG15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG24,0.11409396,0,0.369127517,0,0.187919463,0,0,0,0.261744966,0,0,0,0,0,0,0,0,0,0,0,0,0.067114094
BG25,0,0,0,0.6133829,0,0.256505576,0,0.037174721,0,0,0,0,0,0,0,0.007434944,0,0,0,0,0,0.085501859
YP11,0,0,0,0,0,0,0.845360825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175
YP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YP13,0,0,0,0.887410926,0,0,0.062232779,0,0,0,0,0.001425178,0,0.048931116,0,0,0,0,0,0,0,0
YP14,0,0,0,0.945232274,0,0,0.012713936,0,0,0,0,0,0,0.041075795,0,0,0,0,0,0,0,0.000977995
YP15,0,0,0,0.003469813,0,0,0.789382373,0,0,0,0,0,0,0.072519084,0,0,0,0,0,0,0,0.13462873
YP21,0.582441903,0,0,0,0,0,0.062523054,0,0,0,0.000553301,0,0,0,0,0,0,0,0.000553301,0,0,0.35392844
YP22,0,0,0,0.951792024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048207976
YP23,0,0,0,0.637886598,0,0,0.254510309,0,0,0,0,0,0,0,0.001610825,0,0,0.000966495,0.007087629,0,0,0.097938144
YP24,0,0,0,0.856321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143678161
YP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZH24,0,0,0,0.408284024,0,0,0,0,0,0.49704142,0,0,0,0,0,0,0,0,0,0,0,0.094674556
BG21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG22,0,0,0,0.355932203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13559322,0,0.508474576
BA14,0,0,0,0.857627119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142372881
