,NA_OTU1,Russula_OTU1,Tomentella_parmastoana_OTU1,Tomentella_OTU2,NA_OTU2,NA_OTU3,Lactarius_OTU1,NA_OTU4,Tomentella_OTU3,NA_OTU5,Tomentella_OTU4,NA_OTU6,Scleroderma_OTU1,Cladosporium_sphaerospermum_OTU1,NA_OTU7,Cryptococcus_laurentii_OTU1,Kurtzmanomyces_OTU1,Tomentella_OTU5,Tomentella_OTU6,Tomentella_OTU7,Yarrowia_lipolytica_OTU1,Yarrowia_lipolytica_OTU2,NA_OTU8,NA_OTU9,NA_OTU10,Tomentella_OTU8,NA_OTU11,NA_OTU12,NA_OTU13,NA_OTU14,NA_OTU15,Tomentella_OTU9,NA_OTU16,Tomentella_OTU10,Tomentella_OTU11,Kurtzmanomyces_OTU2,NA_OTU17,Tomentella_OTU12,NA_OTU18,NA_OTU19,NA_OTU20,NA_OTU21,NA_OTU22,NA_OTU23,Tomentella_OTU13,Russula_OTU2,NA_OTU24,NA_OTU25,NA_OTU26,NA_OTU27,NA_OTU28,NA_OTU29,NA_OTU30,Ceratobasidium_OTU1,Tomentella_guineensis_OTU14,NA_OTU31,NA_OTU32,NA_OTU33,NA_OTU34,NA_OTU35,Pyrenochaeta_OTU1,Russula_violeipes_OTU3,Lactifluus_OTU1,Penicillium_astrolabium_OTU1,Cryptococcus_uniguttulatus_OTU2,Schizophyllum_commune_OTU1,Cryptococcus_laurentii_OTU3,NA_OTU36,NA_OTU37,Phaeosphaeria_OTU1,NA_OTU38,Russula_OTU4,Vanrija_humicola_OTU1,Lopharia_cinerascens_OTU1,Fusarium_solani_OTU1,NA_OTU39,NA_OTU40,Malassezia_restricta_OTU1,Debaryomyces_hansenii_OTU1,NA_OTU41,Clavulina_OTU1,NA_OTU42,Inocybe_OTU1,NA_OTU43,NA_OTU44,NA_OTU45,NA_OTU46,Scleroderma_OTU2,NA_OTU47,Tomentella_OTU15,NA_OTU48,Asterodon_ferruginosus_OTU1,NA_OTU49
BA11,0,41,0,0,0,0,503,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
BA12,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA13,6,0,0,0,0,0,7,0,78,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
BA15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA21,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BA22,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA25,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB11,0,0,0,0,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
